MLS#,Condo Name,Latitude,Longitude
C3532582,,-34.637512,-58.5047
C3645784,,25.7662,-80.287751
C3641311,,26.00695,-80.432361
C3635835,Vista Heights,27.77768,-82.663351
C3576562,,29.003176,-81.232624
C3572334,Liberte,29.179834,-82.139514
C3613893,Highlands Of Valley Ridge,30.089667,-81.459688
C3539680,Green Brier On The Park,30.289775,-81.723905
C3617744,Green Brier On The Park,30.289775,-81.723905
C3596970,,30.801375,-84.244783
C3609706,,30.855889,-83.281929
C3521391,,32.460007,-83.250113
C3565863,,32.940449,-96.739518
C3625244,The Ravenwood,33.275578,-86.358583
C3606766,,33.769665,-117.812046
C3606772,,33.769665,-117.812046
C3551173,Riverview,34.228455,-85.173342
C3573301,Sandhurst Village,34.586368,-86.996088
C3598490,,34.794241,-82.306807
C3599979,Parke Place,35.084506,-106.655253
C3555289,,35.088457,-80.890701
C3503767,,36.051941,-80.219282
C3627086,Dorchestor Square,36.357723,-94.222309
C3531258,Destiny,36.899983,-94.874018
C3536192,,39.039136,-81.418785
C3654639,,39.581775,-84.310744
C3612149,,39.871112,-74.992383
C3633321,,39.874601,-75.00013
C3625253,,39.874875,-74.992241
C3639167,,39.87514,-74.998979
C3643369,,39.87527,-75.000076
C3551510,The Conservatory,40.439154,-104.703517
C3588086,,40.570651,-74.12902
C3582597,,40.570765,-74.128911
C3616795,,40.599171,-76.146408
C3631505,,40.599512,-76.144357
C3609920,,40.602454,-76.137611
C3543213,,40.646381,-74.242313
C3506607,Mountview Parc,40.654027,-96.714916
C3546946,,40.661166,-74.297861
C3582595,,40.661389,-74.297242
C3560168,,40.661508,-74.297635
C3654456,,40.662276,-74.295732
C3607001,,40.666196,-74.290048
C3594570,,40.667017,-74.288885
C3525609,,40.669306,-74.28617
C3549292,,40.669485,-74.285924
C3548161,,40.669632,-74.286134
C3637337,,40.669733,-74.285575
