,MLS#,Condo Name,Latitude,Longitude,NewLat,NewLong
0,C3532582,Group 1,-34.637512,-58.5047,-53.52956683332048,-77.08018179276282
1,C3645784,Group 2,25.7662,-80.287751,39.819647697002665,-105.77944067420351
2,C3641311,Group 3,26.00695,-80.432361,40.191708000153824,-105.96996494129746
3,C3635835,Vista Heights,27.77768,-82.663351,51.07725,-114.01321999999999
4,C3576562,Group 5,29.003176,-81.232624,44.82214103803288,-107.0243147204096
5,C3572334,Liberte,29.179834000000003,-82.139514,51.051140000000004,-114.0786
6,C3613893,Highlands Of Valley Ridge,30.089667,-81.459688,51.093790000000006,-114.25516999999999
7,C3539680,Green Brier On The Park,30.289775,-81.723905,46.81047920614909,-107.67157944941992
8,C3617744,Green Brier On The Park,30.289775,-81.723905,46.81047920614909,-107.67157944941992
9,C3596970,Group 9,30.801375,-84.244783,47.601117009231686,-110.99284653595103
10,C3609706,Group 10,30.855889,-83.281929,47.68536413432403,-109.7242824486232
11,C3521391,Group 11,32.460007,-83.250113,50.16440309328656,-109.68236473835516
12,C3565863,Group 12,32.940449,-96.739518,50.90688864330338,-127.45471105713303
13,C3625244,The Ravenwood,33.275578,-86.358583,51.04254,-114.09338999999999
14,C3606766,Group 14,33.769665,-117.812046,52.188377143148834,-155.21785297689476
15,C3606772,Group 14,33.769665,-117.812046,52.188377143148834,-155.21785297689476
16,C3551173,Riverview,34.228455,-85.173342,51.05332,-114.12086000000001
17,C3573301,Sandhurst Village,34.586368,-86.996088,51.057759999999995,-144.07613
18,C3598490,Group 17,34.794241,-82.30680699999999,53.771779249738245,-108.43955522106502
19,C3599979,Parke Place,35.084506,-106.655253,51.03901,-114.0615
20,C3555289,Group 19,35.088457,-80.890701,54.22646707591445,-106.57382976793355
21,C3503767,Group 20,36.051941,-80.21928199999999,55.71545627267994,-105.68923248636273
22,C3627086,Dorchestor Square,36.357723,-94.222309,51.04064,-114.08205
23,C3531258,Destiny,36.899983,-94.874018,57.02603888370762,-124.99690716899416
24,C3536192,Group 22,39.039136,-81.418785,60.3319326061031,-107.26958260013076
25,C3654639,Group 23,39.581775,-84.310744,61.170538757054885,-111.07975042352301
26,C3612149,Group 24,39.871112,-74.99238299999999,61.617686470171584,-98.80277165274747
27,C3633321,Group 24,39.874601,-75.00013,61.62307844690137,-98.81297835696695
28,C3625253,Group 24,39.874875,-74.992241,61.623501892480036,-98.80258456716608
29,C3639167,Group 24,39.87514,-74.998979,61.62391142926232,-98.81146190975427
30,C3643369,Group 24,39.87527,-75.000076,61.62411233409891,-98.81290721174585
31,C3551510,The Conservatory,40.439153999999995,-104.703517,51.038759999999996,-114.07336000000001
32,C3588086,Group 25,40.570651,-74.12902,62.698769304672346,-97.66528736527749
33,C3582597,Group 25,40.570765,-74.128911,62.698945482759825,-97.66514375733121
34,C3616795,Group 26,40.599171000000005,-76.146408,62.74284473497712,-100.32320431530951
35,C3631505,Group 26,40.599512,-76.144357,62.74337172381771,-100.32050211441187
36,C3609920,Group 26,40.602453999999994,-76.13761099999999,62.74791835481197,-100.3116142317909
37,C3543213,Group 27,40.646381,-74.242313,62.815804099096596,-97.81455135664652
38,C3506607,Mountview Parc,40.654027,-96.714916,62.82762039433188,-127.42229782140213
39,C3546946,Group 29,40.661165999999994,-74.297861,62.83865316070444,-97.88773607408332
40,C3582595,Group 29,40.661389,-74.297242,62.838997789770296,-97.88692053904887
41,C3560168,Group 29,40.661508000000005,-74.297635,62.839181694966875,-97.88743831815798
42,C3654456,Group 29,40.662276,-74.295732,62.84036857892458,-97.88493110786631
43,C3607001,Group 29,40.666196,-74.290048,62.84642663245876,-97.87744241459362
44,C3594570,Group 29,40.667017,-74.288885,62.84769542377293,-97.8759101573318
45,C3525609,Group 29,40.669306,-74.28617,62.85123289431878,-97.87233313371546
46,C3549292,Group 29,40.669484999999995,-74.285924,62.85150952482454,-97.87200902770823
47,C3548161,Group 29,40.669632,-74.28613399999999,62.85173670183208,-97.87228570356805
48,C3637337,Group 29,40.669733,-74.285575,62.851892789435894,-97.87154921877928
